apn,number_of_buildings,view_code,parcel_level_latitude,parcel_level_longitude,situs_house_number,situs_house_number_suffix,situs_direction,situs_street_name,situs_mode,situs_unit_number,situs_city,situs_state,situs_zip_code,situs_county,assessed_land_value,land_square_footage,year_built,effective_year_built,bedrooms_all_buildings,total_rooms_all_buildings,total_bath_rooms_calculated_all_buildings,total_baths_primary_building,full_baths_all_buildings,half_baths_all_buildings,pool_indicator,pool_code,stories_number,universal_building_square_feet,building_square_feet,living_square_feet_all_buildings,ground_floor_square_feet,basement_square_feet,garage_parking_square_feet,avm_value_amount
172273120000,1,,34.04553,-117.187032,801,,W,FERN,AVE,,REDLANDS,CA,923735869,SAN BERNARDINO,163200,8750,1951,1951,4,8,3,2.5,2,1,Y,1,1,1876,2276,1876,1596,,400,535700
176042220000,1,VFA,34.030336,-117.147382,603,,,VIA VISTA,DR,,REDLANDS,CA,923737333,SAN BERNARDINO,79914,22651,1955,1955,4,7,2,2,2,,N,,2,1770,2110,1770,1770,340,420,514400
167432190000,1,,34.0814,-117.188078,1820,,,CLEMENTINE,ST,,REDLANDS,CA,923741602,SAN BERNARDINO,127301,7979,2017,2018,3,6,2,2,2,,,,,1940,2358,1940,1940,,,529200
176073230000,1,VFA,34.029584,-117.162418,1619,,,DWIGHT,ST,,REDLANDS,CA,923737229,SAN BERNARDINO,16837,16016,1956,1956,3,5,2,2,2,,,,1,1586,1586,1586,1586,,504,782100
173021030000,1,,34.047072,-117.183663,410,,S,BUENA VISTA,ST,,REDLANDS,CA,923735802,SAN BERNARDINO,91651,11635,1958,1958,3,5,2,2,2,,,,1,1616,1616,1616,1616,,500,559600
174331060000,1,,34.037143,-117.161469,1390,,,CRESTWOOD,DR,,REDLANDS,CA,923736881,SAN BERNARDINO,51475,14040,1963,1963,4,7,2,2,2,,Y,1,1,1792,2254,1792,1792,,462,608600
173362120000,1,,34.055325,-117.15969,1308,,E,CITRUS,AVE,,REDLANDS,CA,923744013,SAN BERNARDINO,82423,8000,1963,1963,5,9,3,2.5,2,1,Y,1,2,2046,2766,2046,988,,720,487300
172092150000,1,,34.050112,-117.189598,120,,S,CENTER,ST,,REDLANDS,CA,923735135,SAN BERNARDINO,53756,9000,1917,1930,1,5,2,2,2,,,,1,1439,1439,1439,711,,,447100
174102090000,1,,34.037845,-117.168137,1325,,,CAJON,ST,,REDLANDS,CA,923737043,SAN BERNARDINO,84112,13585,1961,1961,4,7,2,2,2,,Y,1,1,2271,2712,2271,1820,,441,773700
167281210000,1,,34.067657,-117.190411,1135,,,LAWTON,ST,,REDLANDS,CA,923743020,SAN BERNARDINO,81600,7370,1938,1940,1,4,1,1,1,,,,1,1020,1020,1020,720,,200,
174323090000,1,,34.03415,-117.159715,125,,E,SOUTH,AVE,,REDLANDS,CA,923737149,SAN BERNARDINO,17918,14560,1962,1963,4,7,2,2,2,,Y,1,1,1760,2288,1760,1760,,528,507900
168671040000,1,,34.063057,-117.145717,1633,,E,COLTON,AVE,,REDLANDS,CA,923743932,SAN BERNARDINO,77472,7299,1987,1987,4,8,3,2.5,2,1,,,2,2010,2611,2010,983,,601,421000
168651560000,1,,34.068943,-117.144147,1226,,,VIA ANTIBES,,,REDLANDS,CA,923743999,SAN BERNARDINO,70288,5500,1988,1988,4,8,3,3,3,,,,2,2041,2516,2041,1153,,475,418300
167191430000,1,,34.073449,-117.187317,409,,W,PENNSYLVANIA,AVE,,REDLANDS,CA,923742124,SAN BERNARDINO,60127,7474,1984,1984,3,6,2,2,2,,,,1,1215,1635,1215,1215,,420,323700
173301200000,1,,34.047822,-117.172907,219,,,ORCHID,CT,,REDLANDS,CA,923736130,SAN BERNARDINO,11706,6500,1955,1955,4,6,2,2,2,,,,1,1286,1686,1286,1286,,400,905100
174323040000,1,,34.034508,-117.159737,136,,,BELMONT,CT,,REDLANDS,CA,923737180,SAN BERNARDINO,146880,14560,1962,1963,4,7,2,2,2,,Y,1,1,2108,2592,2108,1728,,484,514900
175082140000,1,,34.031505,-117.188109,1211,,,CROWN,ST,,REDLANDS,CA,923736540,SAN BERNARDINO,105924,9460,1957,1957,2,5,2,2,2,,,,1,1665,1665,1665,1665,,440,558000
167422420000,1,,34.084789,-117.188157,2010,,,CLEMENTINE,ST,,REDLANDS,CA,923741629,SAN BERNARDINO,184500,6991,2017,2017,4,10,4,3.5,3,1,,,,3163,3747,3163,1740,,,600600
173375040000,1,,34.054487,-117.156697,40,,,FORD,ST,,REDLANDS,CA,923745413,SAN BERNARDINO,131886,11210,1979,1979,3,7,2,2,2,,Y,1,1,1459,1965,1459,1459,,506,421800
293152410000,1,VFA,34.040571,-117.211222,11737,,,SAN TIMOTEO CANYON,RD,,REDLANDS,CA,923737839,SAN BERNARDINO,93565,50094,1982,1982,4,10,4,3.5,3,1,,,2,3962,4819,3962,3624,,857,973500
1212111370000,1,,34.079131,-117.163008,1692,,,TIVOLI,ST,,REDLANDS,CA,923744744,SAN BERNARDINO,148257,9165,2005,2006,5,9,3,2.5,2,1,,,2,3446,4096,3446,1647,,650,573700
172291040000,1,,34.044026,-117.184669,530,,S,CENTER,ST,,REDLANDS,CA,923735866,SAN BERNARDINO,10750,6500,1939,1939,3,6,2,2,2,,,,1,1220,1220,1220,1220,,540,345600
300171060000,1,VGO,34.021901,-117.119312,31404,,,ALTA VISTA,DR,,REDLANDS,CA,923737592,SAN BERNARDINO,231800,86700,1964,1964,4,7,3,4,3,,Y,1,1,3423,3423,3423,2239,,776,973500
175151040000,1,VGO,34.030437,-117.189795,1267,,W,CRESCENT,AVE,,REDLANDS,CA,923736565,SAN BERNARDINO,188578,15000,1949,1949,4,7,3,3,3,,,,1,2555,2555,2555,1427,,1100,836100
168521020000,1,,34.066796,-117.151643,1104,,N,LINCOLN,ST,,REDLANDS,CA,923743855,SAN BERNARDINO,76216,8580,1979,1979,4,6,2,2,2,,,,1,1280,1760,1280,1280,,480,381600
174661220000,1,VFA,34.045086,-117.141023,1749,,,6TH,AVE,,REDLANDS,CA,923746475,SAN BERNARDINO,306900,25539,2004,2005,4,12,5,5.5,4,1,Y,00S,2,4766,5426,4766,2582,,660,1116100
1212311500000,1,,34.071647,-117.157481,1355,,,MONA,AVE,,REDLANDS,CA,923742748,SAN BERNARDINO,88025,7201,1983,1983,2,5,2,2,2,,,,1,1335,1815,1329,1335,,480,392700
172024040000,1,,34.049392,-117.193946,23,,,BROOKDALE,DR,,REDLANDS,CA,923735064,SAN BERNARDINO,74294,6700,1954,1954,4,6,2,2,2,,,,1,1286,1686,1286,1286,,400,390000
1212201060000,1,,34.075795,-117.158109,1548,,,NELSON,ST,,REDLANDS,CA,923742760,SAN BERNARDINO,55484,10370,1992,1992,5,8,2,2,2,,,,1,1727,2147,1727,1727,,420,430200
172071470000,1,,34.045986,-117.196849,130,,S,SAN MATEO,ST,,REDLANDS,CA,923735029,SAN BERNARDINO,112310,22500,1908,1930,1,6,1,1,1,,,,1,889,1144,889,889,255,548,438900
174471310000,1,,34.048912,-117.145333,326,,,JESSE,WAY,,REDLANDS,CA,923745581,SAN BERNARDINO,54623,10010,1985,1985,4,8,3,3,3,,Y,00S,2,2096,2823,2096,1156,,727,561600
172362040000,1,,34.036394,-117.194315,1342,,,KEVIN,AVE,,REDLANDS,CA,923735621,SAN BERNARDINO,95604,9790,1956,1958,4,7,2,2,2,,Y,00H,1,1620,2100,1620,1620,,480,540400
1212151580000,1,,34.076047,-117.170674,919,,,GAIL,AVE,,REDLANDS,CA,923744603,SAN BERNARDINO,44269,7281,1984,1985,3,7,2,2,2,,,,1,1446,1926,1446,1446,,480,377100
174491200000,1,,34.049418,-117.141275,317,,,BRIGETTE,CT,,REDLANDS,CA,923745565,SAN BERNARDINO,40607,10000,1979,1979,4,8,3,3,3,,Y,00S,2,2395,2854,2395,1430,,459,546200
175083020000,1,,34.032322,-117.183483,1108,,W,CRESCENT,AVE,,REDLANDS,CA,923736651,SAN BERNARDINO,140400,10296,1956,1956,3,6,2,2,2,,Y,1,1,1268,1268,1268,1268,,396,147900
1212271460000,2,,34.072446,-117.166732,1410,,N,UNIVERSITY,ST,,REDLANDS,CA,923742644,SAN BERNARDINO,46332,7425,1979,1979,8,14,4,2,4,,Y,00S,1,1556,2016,3112,1556,,460,401400
1212081250000,1,,34.079255,-117.168534,1026,,,OCCIDENTAL,CIR,,REDLANDS,CA,923742685,SAN BERNARDINO,27317,1443,1984,1984,3,6,2,2,2,,,,1,1443,1913,1443,1443,,470,284000
170401250000,1,,34.056092,-117.148955,1572,,,CHRISTOPHER,LN,,REDLANDS,CA,923744245,SAN BERNARDINO,43946,2930,1975,1975,3,5,2,2,2,,,,1,1344,1816,1344,1344,,472,341400
174441180000,1,,34.054063,-117.140025,1779,,,SOMERSET,LN,,REDLANDS,CA,923745559,SAN BERNARDINO,80849,10000,1978,1978,3,6,2,2,2,,Y,00S,1,1902,2382,1902,1902,,480,441700
168436030000,1,,34.065188,-117.150358,1521,,,CLOCK,AVE,,REDLANDS,CA,923743911,SAN BERNARDINO,109242,6000,1977,1977,3,7,2,2,2,,,,1,1324,1784,1324,1324,,460,400500
167824210000,1,,34.074322,-117.189646,1502,,,CANTERBURY,CIR,,REDLANDS,CA,923742160,SAN BERNARDINO,44581,8160,1987,1987,3,6,2,2,2,,,,1,1337,1752,1337,1337,,415,356300
167323140000,1,,34.082967,-117.182745,140,,W,PIONEER,AVE,65,REDLANDS,CA,923741612,SAN BERNARDINO,80603,4368,1993,1993,3,6,2,2,2,,,,1,1604,2004,1604,1604,,400,300000
167212070000,1,,34.07093,-117.184312,1324,,,CLAY,ST,,REDLANDS,CA,923742225,SAN BERNARDINO,52749,6811,1930,1970,3,6,2,1.75,2,,,,1,960,960,960,672,,,258600
167351330000,1,,34.080376,-117.189399,612,,,BALDWIN,AVE,,REDLANDS,CA,923742106,SAN BERNARDINO,8596,6954,1956,1956,3,5,1,1,1,,,,1,1381,1381,1381,1103,,400,354300
1212191440000,1,,34.074158,-117.159642,1316,,,SANDRA,WAY,,REDLANDS,CA,923742721,SAN BERNARDINO,52313,8553,1987,1987,3,7,2,2,2,,,,1,1300,1967,1300,1300,,667,394400
172061320000,1,,34.043127,-117.200578,1316,,W,OLIVE,AVE,,REDLANDS,CA,923734928,SAN BERNARDINO,82874,10350,1979,1979,4,8,3,2.5,3,1,,,2,2324,2830,2324,1362,,506,560400
1212311590000,1,,34.070331,-117.158364,1305,,,JULIE,CT,,REDLANDS,CA,923742739,SAN BERNARDINO,96083,8700,1983,1983,4,8,3,2.5,2,1,,,2,1656,2136,1656,874,,480,425600
174471550000,1,,34.04864,-117.145694,325,,,SILVERTREE,LN,,REDLANDS,CA,923745601,SAN BERNARDINO,155386,14186,2012,2012,4,7,3,2.5,2,1,,,,2736,3586,2736,2736,,,772100
172111150000,1,,34.047572,-117.191201,915,,W,OLIVE,AVE,,REDLANDS,CA,923735018,SAN BERNARDINO,16681,15390,1950,1950,3,7,2,2,2,,,,1,2137,2137,2137,2137,,484,486900
170371130000,1,,34.062141,-117.152906,1455,,,STILLMAN,AVE,,REDLANDS,CA,923744164,SAN BERNARDINO,40525,7560,1961,1961,4,8,2,2,2,,Y,00H,1,1340,1807,1340,1340,,467,359100
175321110000,1,,34.027168,-117.174545,1530,,,KINCAID,ST,,REDLANDS,CA,923736934,SAN BERNARDINO,130050,15544,1957,1957,4,7,2,2,2,,,,1,1820,2392,1820,1820,,572,550300
299341420000,1,,34.059825,-117.138553,30508,,,LARAMIE,AVE,,REDLANDS,CA,923747632,SAN BERNARDINO,54398,5900,1987,1987,3,9,3,2.5,2,1,,,2,1772,2212,1772,906,,440,414200
301191170000,1,VFA,34.005319,-117.108128,32029,,,LIVE OAK CANYON,RD,,REDLANDS,CA,923737831,SAN BERNARDINO,143348,435600,1991,1991,4,8,2,3,2,,,,1,2720,3808,2720,2720,,1088,871700
170031150000,1,,34.065552,-117.168119,1031,,,CAMPUS,AVE,,REDLANDS,CA,923743687,SAN BERNARDINO,134900,17700,1931,1950,5,9,2,2,2,,Y,1,1,2375,2375,2375,1404,,324,546300
1212191750000,1,,34.076363,-117.159827,1561,,,KELLY,ST,,REDLANDS,CA,923742720,SAN BERNARDINO,88313,7800,1999,1999,4,7,2,2,2,,,,1,1554,2058,1554,1554,,504,412200
168262370000,1,,34.068941,-117.149243,1221,,,COUNTRY,PL,,REDLANDS,CA,923743959,SAN BERNARDINO,68910,6560,1985,1985,3,6,2,2,2,,,,1,1509,1989,1509,1509,,480,406300
168701490000,1,,34.067945,-117.145726,1630,,,MAPLE,AVE,,REDLANDS,CA,923744922,SAN BERNARDINO,121103,7200,1988,1988,3,6,3,2.5,2,1,,,2,1674,2436,1701,720,,762,445900
170383050000,1,,34.056688,-117.150874,120,,,FALCON,LN,,REDLANDS,CA,923744111,SAN BERNARDINO,64430,7242,1963,1963,3,6,2,2,2,,Y,1,1,1406,1846,1406,1406,,440,382100
174421290000,1,,34.047534,-117.144347,1669,,,BRITTANY,DR,,REDLANDS,CA,923746389,SAN BERNARDINO,343632,16000,2008,2008,5,10,5,4.5,4,1,Y,00S,2,4589,5244,4589,2443,,655,910500
172201220000,1,,34.045971,-117.189271,321,,S,ASH,ST,,REDLANDS,CA,923735034,SAN BERNARDINO,53272,8250,1957,1957,4,6,2,2,2,,,,1,1364,1805,1364,1364,,441,388300
171361160000,1,,34.049575,-117.18252,322,,,GRANT,ST,,REDLANDS,CA,923735119,SAN BERNARDINO,97505,7000,1963,1963,3,5,2,2,2,,,,1,1416,1416,1415,1416,,440,493600
174361100000,1,VFA,34.037405,-117.167039,32,,W,HILTON,AVE,,REDLANDS,CA,923737012,SAN BERNARDINO,108789,15771,1964,,4,8,2,2,2,,Y,1,1,1944,2472,1944,1944,,528,667800
172083070000,1,,34.047678,-117.194264,105,,,SAN JACINTO,ST,,REDLANDS,CA,923735083,SAN BERNARDINO,70270,10500,1981,1981,4,7,2,2,2,,,,1,1911,2583,1911,1911,,672,479900
300411170000,1,,34.024394,-117.135753,746,,,STRADA CASALINGO,CT,,REDLANDS,CA,923737374,SAN BERNARDINO,180156,5338,2007,2008,2,6,4,3.5,3,1,,,1,2596,3207,2596,2596,,611,752200
300621050000,1,,34.02652,-117.133271,1630,,,VALLE DEL SOL,,,REDLANDS,CA,923737438,SAN BERNARDINO,395116,71874,2007,2007,5,11,4,4,4,,Y,00S,2,4364,4984,4364,1908,,620,1402500
176242050000,1,,34.028939,-117.153997,401,,,MARCIA,ST,,REDLANDS,CA,923737182,SAN BERNARDINO,114404,15120,1958,1958,3,7,3,2.5,2,1,,,1,2168,2740,2168,1768,,572,567600
167343120000,1,,34.070701,-117.193736,845,,W,SHARON,RD,,REDLANDS,CA,923742008,SAN BERNARDINO,76536,6500,1955,1955,3,5,2,2,2,,,,1,1038,1038,1038,1038,,400,298000
173354180000,1,,34.050326,-117.16094,1048,,,DRACENA,CT,,REDLANDS,CA,923746312,SAN BERNARDINO,71335,10219,1964,1964,4,7,2,2,2,,Y,1,1,1142,1570,1142,1142,,428,386900
173371060000,1,,34.053411,-117.158287,1325,,E,PALM,AVE,,REDLANDS,CA,923745432,SAN BERNARDINO,70648,8100,1963,1963,5,9,3,2.5,2,1,,,2,2046,2766,2046,988,,720,509400
172301190000,1,,34.034989,-117.197791,606,,,SUNNYSIDE,AVE,,REDLANDS,CA,923735632,SAN BERNARDINO,157593,14322,2002,2002,4,12,4,3.5,3,1,,,2,3534,4210,3534,2460,,676,1131700
1212191490000,1,,34.074635,-117.160206,1307,,,SANDRA,WAY,,REDLANDS,CA,923742726,SAN BERNARDINO,50836,7201,1987,1988,4,7,2,2,2,,,,1,1459,2068,1459,1459,,609,432700
167921040000,1,,34.082362,-117.187633,1875,,,FURLOW,DR,,REDLANDS,CA,923741645,SAN BERNARDINO,109783,8052,2007,2007,4,11,5,3.5,4,1,,,2,3439,3989,3439,1581,,550,602900
294171130000,1,VAV,34.01806,-117.16299,504,,,LANTERN CREST,DR,,REDLANDS,CA,923737281,SAN BERNARDINO,151899,21780,1990,1991,4,8,3,3,3,,Y,00S,1,3005,3635,3005,3005,,630,890400
173382290000,1,,34.047485,-117.162052,1024,,,EVERRON,CT,,REDLANDS,CA,923746382,SAN BERNARDINO,40607,10126,1979,1979,3,6,2,2,2,,,,1,1544,2073,1555,1544,,529,466700
